Animals count,Plants count,Free fields count,1. most popular gene,2. most popular gene,3. most popular gene,4. most popular gene,5. most popular gene,6. most popular gene,7. most popular gene,8. most popular gene,9. most popular gene,10. most popular gene,Average energy,Average lifespan,Average fertility
1,10,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",9.0,0.0,0.0
1,20,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",8.0,0.0,0.0
1,29,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",17.0,0.0,0.0
1,38,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",26.0,0.0,0.0
1,47,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",35.0,0.0,0.0
1,56,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",44.0,0.0,0.0
1,65,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",53.0,0.0,0.0
1,74,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",62.0,0.0,0.0
1,83,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",71.0,0.0,0.0
1,92,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",80.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",89.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",98.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",107.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",116.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",125.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",134.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",143.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",152.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",161.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",170.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",179.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",188.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",197.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",206.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",215.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",224.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",233.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",242.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",251.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",260.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",269.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",278.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",287.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",296.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",305.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",314.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",323.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",332.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",341.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",350.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",359.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",368.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",377.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",386.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",395.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",404.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",413.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",422.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",431.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",440.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",449.0,0.0,0.0
1,100,98,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",458.0,0.0,0.0
1,100,99,"[7, 1, 7, 3, 1, 1, 7, 0, 2, 3]","","","","","","","","","",467.0,0.0,0.0
